,humidness (t-3),temperature(t-3),precipitation(t-3),sunshine_duration(t-3),humidness (t-2),temperature(t-2),precipitation(t-2),sunshine_duration(t-2),humidness (t-1),temperature(t-1),precipitation(t-1),sunshine_duration(t-1),sunshine_duration(t),sunshine_duration(t+1)
3,32.0,-2.2,0.2,206.6,22.0,-0.4,0.0,241.4,35.0,6.2,11.0,229.7,0.8017331,0.92027736
4,22.0,-0.4,0.0,241.4,35.0,6.2,11.0,229.7,38.0,14.3,6.2,263.3,0.92027736,0.63154244
5,35.0,6.2,11.0,229.7,38.0,14.3,6.2,263.3,45.0,21.6,1.8,297.5,0.63154244,0.39930674
6,38.0,14.3,6.2,263.3,45.0,21.6,1.8,297.5,56.0,25.4,55.1,214.2,0.39930674,0.29913345
7,45.0,21.6,1.8,297.5,56.0,25.4,55.1,214.2,76.0,25.5,307.4,147.2,0.29913345,0.5421144
8,56.0,25.4,55.1,214.2,76.0,25.5,307.4,147.2,81.0,23.9,250.0,118.3,0.5421144,0.48492196
9,76.0,25.5,307.4,147.2,81.0,23.9,250.0,118.3,72.0,20.7,32.9,188.4,0.48492196,0.4655113
10,81.0,23.9,250.0,118.3,72.0,20.7,32.9,188.4,66.0,12.8,30.8,171.9,0.4655113,0.4918544
11,72.0,20.7,32.9,188.4,66.0,12.8,30.8,171.9,48.0,4.2,2.6,166.3,0.4918544,0.50883883
12,66.0,12.8,30.8,171.9,48.0,4.2,2.6,166.3,44.0,0.9,2.9,173.9,0.50883883,0.5240901
13,48.0,4.2,2.6,166.3,44.0,0.9,2.9,173.9,49.0,-3.8,4.9,178.8,0.5240901,0.6214905
14,44.0,0.9,2.9,173.9,49.0,-3.8,4.9,178.8,41.0,1.3,0.0,183.2,0.6214905,0.8090121
15,49.0,-3.8,4.9,178.8,41.0,1.3,0.0,183.2,47.0,8.7,10.6,211.3,0.8090121,0.7830156
16,41.0,1.3,0.0,183.2,47.0,8.7,10.6,211.3,50.0,14.5,17.4,265.4,0.7830156,0.8162912
17,47.0,8.7,10.6,211.3,50.0,14.5,17.4,265.4,55.0,20.0,41.5,257.9,0.8162912,0.6759099
18,50.0,14.5,17.4,265.4,55.0,20.0,41.5,257.9,57.0,24.6,35.5,267.5,0.6759099,0.705026
19,55.0,20.0,41.5,257.9,57.0,24.6,35.5,267.5,69.0,28.2,139.8,227.0,0.705026,0.6918545
20,57.0,24.6,35.5,267.5,69.0,28.2,139.8,227.0,74.0,26.6,83.2,235.4,0.6918545,0.85615253
21,69.0,28.2,139.8,227.0,74.0,26.6,83.2,235.4,68.0,18.6,44.1,231.6,0.85615253,0.30814558
22,74.0,26.6,83.2,235.4,68.0,18.6,44.1,231.6,47.0,14.0,43.0,279.0,0.30814558,0.36915076
23,68.0,18.6,44.1,231.6,47.0,14.0,43.0,279.0,66.0,5.4,2.1,120.9,0.36915076,0.49358746
24,47.0,14.0,43.0,279.0,66.0,5.4,2.1,120.9,56.0,-1.5,8.8,138.5,0.49358746,0.562565
25,66.0,5.4,2.1,120.9,56.0,-1.5,8.8,138.5,43.0,-3.9,1.3,174.4,0.562565,0.6093588
26,56.0,-1.5,8.8,138.5,43.0,-3.9,1.3,174.4,45.0,2.4,26.3,194.3,0.6093588,0.49844024
27,43.0,-3.9,1.3,174.4,45.0,2.4,26.3,194.3,51.0,7.6,4.3,207.8,0.49844024,0.8343155
28,45.0,2.4,26.3,194.3,51.0,7.6,4.3,207.8,68.0,15.0,54.7,175.8,0.8343155,0.5688042
29,51.0,7.6,4.3,207.8,68.0,15.0,54.7,175.8,61.0,19.9,61.5,272.7,0.5688042,0.558059
30,68.0,15.0,54.7,175.8,61.0,19.9,61.5,272.7,71.0,23.6,142.9,196.1,0.558059,0.7431542
31,61.0,19.9,61.5,272.7,71.0,23.6,142.9,196.1,79.0,26.5,247.9,193.0,0.7431542,0.5986135
32,71.0,23.6,142.9,196.1,79.0,26.5,247.9,193.0,75.0,25.1,114.4,246.4,0.5986135,0.52582324
33,79.0,26.5,247.9,193.0,75.0,25.1,114.4,246.4,72.0,22.2,4.7,204.7,0.52582324,0.48526862
34,75.0,25.1,114.4,246.4,72.0,22.2,4.7,204.7,65.0,14.8,61.8,183.7,0.48526862,0.58162916
35,72.0,22.2,4.7,204.7,65.0,14.8,61.8,183.7,64.0,4.0,11.3,172.0,0.58162916,0.64124787
36,65.0,14.8,61.8,183.7,64.0,4.0,11.3,172.0,51.0,0.1,0.6,199.8,0.64124787,0.6689775
37,64.0,4.0,11.3,172.0,51.0,0.1,0.6,199.8,38.0,-1.6,0.0,217.0,0.6689775,0.44367418
38,51.0,0.1,0.6,199.8,38.0,-1.6,0.0,217.0,33.0,2.1,0.0,225.0,0.44367418,0.71057194
