week,data
37990,417
37997,481
38004,206
38011,163
38018,201
38025,333
38032,392
38039,442
38046,423
38053,401
38060,375
38067,385
38074,447
38081,346
38088,424
38095,411
38102,511
38109,105
38116,425
38123,375
38130,301
38137,390
38144,406
38151,462
38158,384
38165,294
38172,264
38179,261
38186,246
38193,363
38200,345
38207,198
38214,299
38221,303
38228,241
38235,209
38242,241
38249,234
38256,304
38263,130
38270,257
38277,226
38284,272
38291,306
38298,418
38305,321
38312,296
38319,401
38326,157
38333,239
38340,239
38347,359
38354,303
38361,390
38368,442
38375,326
38382,225
38389,165
38396,238
38403,247
38410,425
38417,236
38424,182
38431,249
38438,242
38445,200
38452,257
38459,242
38466,317
38473,140
38480,271
38487,218
38494,242
38501,224
38508,196
38515,237
38522,187
38529,186
38536,207
38543,227
38550,277
38557,207
38564,236
38571,195
38578,184
38585,143
38592,346
38599,506
38606,404
38613,370
38620,510
38627,202
38634,430
38641,516
38648,432
38655,286
38662,350
38669,410
38676,380
38683,382
38690,368
38697,297
38704,465
38711,194
38718,308
38725,137
38732,110
38739,335
38746,324
38753,468
38760,239
38767,237
38774,225
